We gratefully acknowledge the authors, originating and submitting laboratories of the sequences from GISAID’s EpiFlu™ Database on which this research is based. The list is detailed below.
All submitters of data may be contacted directly via www.gisaid.org
Accession ID	Virus name	Location	Collection date	Originating lab	Submitting lab	Authors
EPI_ISL_418028	hCoV-19/USA/MN-UW243/2020	North America / USA / Minnesota	2020-03-13	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger
EPI_ISL_418027	hCoV-19/Portugal/PT0042/2020	Europe / Portugal	2020-03-17	CHTMAD	Instituto Nacional de Saude (INSA)	Guiomar et al
EPI_ISL_420339	hCoV-19/Belgium/SJ-030583/2020	Europe / Belgium / Limbourg	2020-03-05	KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Joan Marti-Carreras, Bert Vanmechelen, Tony Wawina, Piet Maes
EPI_ISL_420338	hCoV-19/Belgium/AC-030982/2020	Europe / Belgium / Saive	2020-03-09	KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Joan Marti-Carreras, Bert Vanmechelen, Tony Wawina, Piet Maes
EPI_ISL_421669	hCoV-19/India/1616/2020	Asia / India	2020-03-12	National Influenza Center, Indian Council of Medical Research - National Institute of Virology	Indian Council of Medical Research-National Institute of Virology, Microbial Containment Complex	Pragya D. Yadav, Varsha Potdar, Savita Patil, Dimpal A. Nyayanit, Triparna Majumdar, Manohar. L. Chaudhary, Gururaj Deshpande, Padinjaremattathil Thankappan Ullas, Anita Shete-Aich, Hitesh Dighe, Sreelekshmy Mohandas, Gajanan Sapkal, Atanu Basu, Amita Jain, Bharti Malhotra, Deepika Chaudhary, Sarah Cherian, Priya Abraham
EPI_ISL_420335	hCoV-19/Belgium/CD-030679/2020	Europe / Belgium / Bierset	2020-03-06	KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Joan Marti-Carreras, Bert Vanmechelen, Tony Wawina, Piet Maes
EPI_ISL_421667	hCoV-19/India/1115/2020	Asia / India	2020-03-10	National Influenza Center, Indian Council of Medical Research - National Institute of Virology	Indian Council of Medical Research-National Institute of Virology, Microbial Containment Complex	Pragya D. Yadav, Varsha Potdar, Savita Patil, Dimpal A. Nyayanit, Triparna Majumdar, Manohar. L. Chaudhary, Gururaj Deshpande, Padinjaremattathil Thankappan Ullas, Anita Shete-Aich, Hitesh Dighe, Sreelekshmy Mohandas, Gajanan Sapkal, Atanu Basu, Amita Jain, Bharti Malhotra, Deepika Chaudhary, Sarah Cherian, Priya Abraham
EPI_ISL_420334	hCoV-19/Belgium/GOF-030578/2020	Europe / Belgium / Berloz	2020-03-05	KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Joan Marti-Carreras, Bert Vanmechelen, Tony Wawina, Piet Maes
EPI_ISL_421668	hCoV-19/India/1125/2020	Asia / India	2020-03-10	National Influenza Center, Indian Council of Medical Research - National Institute of Virology	Indian Council of Medical Research-National Institute of Virology, Microbial Containment Complex	Pragya D. Yadav, Varsha Potdar, Savita Patil, Dimpal A. Nyayanit, Triparna Majumdar, Manohar. L. Chaudhary, Gururaj Deshpande, Padinjaremattathil Thankappan Ullas, Anita Shete-Aich, Hitesh Dighe, Sreelekshmy Mohandas, Gajanan Sapkal, Atanu Basu, Amita Jain, Bharti Malhotra, Deepika Chaudhary, Sarah Cherian, Priya Abraham
EPI_ISL_420337	hCoV-19/Belgium/PAN-030681/2020	Europe / Belgium / Herve	2020-03-05	KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Joan Marti-Carreras, Bert Vanmechelen, Tony Wawina, Piet Maes
EPI_ISL_421665	hCoV-19/India/1104/2020	Asia / India	2020-03-10	National Influenza Center, Indian Council of Medical Research - National Institute of Virology	Indian Council of Medical Research-National Institute of Virology, Microbial Containment Complex	Pragya D. Yadav, Varsha Potdar, Savita Patil, Dimpal A. Nyayanit, Triparna Majumdar, Manohar. L. Chaudhary, Gururaj Deshpande, Padinjaremattathil Thankappan Ullas, Anita Shete-Aich, Hitesh Dighe, Sreelekshmy Mohandas, Gajanan Sapkal, Atanu Basu, Amita Jain, Bharti Malhotra, Deepika Chaudhary, Sarah Cherian, Priya Abraham
EPI_ISL_420336	hCoV-19/Belgium/PA-030680/2020	Europe / Belgium / Soumagne	2020-03-06	KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Joan Marti-Carreras, Bert Vanmechelen, Tony Wawina, Piet Maes
EPI_ISL_421666	hCoV-19/India/1111/2020	Asia / India	2020-03-10	National Influenza Center, Indian Council of Medical Research - National Institute of Virology	Indian Council of Medical Research-National Institute of Virology, Microbial Containment Complex	Pragya D. Yadav, Varsha Potdar, Savita Patil, Dimpal A. Nyayanit, Triparna Majumdar, Manohar. L. Chaudhary, Gururaj Deshpande, Padinjaremattathil Thankappan Ullas, Anita Shete-Aich, Hitesh Dighe, Sreelekshmy Mohandas, Gajanan Sapkal, Atanu Basu, Amita Jain, Bharti Malhotra, Deepika Chaudhary, Sarah Cherian, Priya Abraham
EPI_ISL_419386	hCoV-19/Portugal/IGC00009/2020	Europe / Portugal / Lisbon	2020-03-18	Hospital Prof. Doutor Fernando Fonseca, EPE	Instituto Gulbenkian de Ciência	João Costa, Cathy Paulino, Joao Sobral, Susana Ladeiro, Ricardo Leite
EPI_ISL_420375	hCoV-19/Belgium/VHV-0324118/2020	Europe / Belgium / Tervuren	2020-03-24	KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Joan Marti-Carreras, Bert Vanmechelen, Tony Wawina, Piet Maes
EPI_ISL_418055	hCoV-19/USA/WA-UW270/2020	North America / USA / Washington	2020-03-14	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger
EPI_ISL_420374	hCoV-19/Belgium/DV-0324117/2020	Europe / Belgium / Beersel	2020-03-24	KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Joan Marti-Carreras, Bert Vanmechelen, Tony Wawina, Piet Maes
EPI_ISL_418054	hCoV-19/USA/WA-UW269/2020	North America / USA / Washington	2020-03-16	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger
EPI_ISL_420377	hCoV-19/Belgium/SEM-0324120/2020	Europe / Belgium / Beringen	2020-03-24	KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Joan Marti-Carreras, Bert Vanmechelen, Tony Wawina, Piet Maes
EPI_ISL_418053	hCoV-19/USA/WA-UW268/2020	North America / USA / Washington	2020-03-16	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger
EPI_ISL_420376	hCoV-19/Belgium/CF-0324119/2020	Europe / Belgium / Zinnik	2020-03-24	KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Joan Marti-Carreras, Bert Vanmechelen, Tony Wawina, Piet Maes
EPI_ISL_418059	hCoV-19/USA/WA-UW274/2020	North America / USA	2020-03-13	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger
EPI_ISL_420371	hCoV-19/Belgium/VRJM-0323114/2020	Europe / Belgium / Hemisem	2020-03-23	KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Joan Marti-Carreras, Bert Vanmechelen, Tony Wawina, Piet Maes
EPI_ISL_420370	hCoV-19/Belgium/SC-0319113/2020	Europe / Belgium / Namur	2020-03-19	KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Joan Marti-Carreras, Bert Vanmechelen, Tony Wawina, Piet Maes
EPI_ISL_418058	hCoV-19/USA/CT-UW273/2020	North America / USA / Connecticut	2020-03-13	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger
EPI_ISL_419388	hCoV-19/USA/MN60-MDH60/2020	North America / USA / Minnesota	2020-03-14	Minnesota Department of Health, Public Health Laboratory	Minnesota Department of Health, Public Health Laboratory	Matt Plumb, Jake Garfin and Xiong Wang
EPI_ISL_420373	hCoV-19/Belgium/EBN-0323116/2020	Europe / Belgium / Couillet	2020-03-23	KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Joan Marti-Carreras, Bert Vanmechelen, Tony Wawina, Piet Maes
EPI_ISL_418057	hCoV-19/USA/CT-UW272/2020	North America / USA / Connecticut	2020-03-13	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger
EPI_ISL_419387	hCoV-19/Portugal/IGC00010/2020	Europe / Portugal / Lisbon	2020-03-18	Hospital Prof. Doutor Fernando Fonseca, EPE 	Instituto Gulbenkian de Ciência 	João Costa, Cathy Paulino, Joao Sobral, Susana Ladeiro, Ricardo Leite
EPI_ISL_420372	hCoV-19/Belgium/LPDC-0323115/2020	Europe / Belgium / Vorst	2020-03-23	KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Joan Marti-Carreras, Bert Vanmechelen, Tony Wawina, Piet Maes
EPI_ISL_418056	hCoV-19/USA/CT-UW271/2020	North America / USA / Connecticut	2020-03-13	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger
EPI_ISL_420368	hCoV-19/Belgium/CA-0319111/2020	Europe / Belgium / Boussu	2020-03-19	KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Joan Marti-Carreras, Bert Vanmechelen, Tony Wawina, Piet Maes
EPI_ISL_418050	hCoV-19/USA/WA-UW265/2020	North America / USA / Washington	2020-03-16	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger
EPI_ISL_420367	hCoV-19/Belgium/JK-0305110/2020	Europe / Belgium / Knokke-Heist	2020-03-05	KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Joan Marti-Carreras, Bert Vanmechelen, Tony Wawina, Piet Maes
EPI_ISL_420369	hCoV-19/Belgium/SR-0319112/2020	Europe / Belgium / La Louviere	2020-03-19	KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Joan Marti-Carreras, Bert Vanmechelen, Tony Wawina, Piet Maes
EPI_ISL_420364	hCoV-19/Belgium/HP-0319108/2020	Europe / Belgium / Anderlecht	2020-03-19	KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Joan Marti-Carreras, Bert Vanmechelen, Tony Wawina, Piet Maes
EPI_ISL_418044	hCoV-19/USA/CT-UW259/2020	North America / USA / Connecticut	2020-03-14	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger
EPI_ISL_420363	hCoV-19/Belgium/VNP-0320107/2020	Europe / Belgium / Watermaal-Bosvoorde	2020-03-20	KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Joan Marti-Carreras, Bert Vanmechelen, Tony Wawina, Piet Maes
EPI_ISL_418043	hCoV-19/USA/CT-UW258/2020	North America / USA / Connecticut	2020-03-14	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger
EPI_ISL_420366	hCoV-19/Belgium/KKN-0319184/2020	Europe / Belgium / Oudergem	2020-03-19	KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Joan Marti-Carreras, Bert Vanmechelen, Tony Wawina, Piet Maes
EPI_ISL_418042	hCoV-19/USA/MN-UW257/2020	North America / USA / Minnesota	2020-03-13	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger
EPI_ISL_420365	hCoV-19/Belgium/OT-0319109/2020	Europe / Belgium / Liege	2020-03-19	KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Joan Marti-Carreras, Bert Vanmechelen, Tony Wawina, Piet Maes
EPI_ISL_420360	hCoV-19/Belgium/VL-0318104/2020	Europe / Belgium / Doornik	2020-03-18	KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Joan Marti-Carreras, Bert Vanmechelen, Tony Wawina, Piet Maes
EPI_ISL_421692	hCoV-19/USA/MN136-MDH136/2020	North America / USA / Minnesota	2020-03-17	Minnesota Department of Health, Public Health Laboratory	Minnesota Department of Health, Public Health Laboratory	Matt Plumb, Jacob Garfin, Xiong Wang
EPI_ISL_418047	hCoV-19/USA/WA-UW262/2020	North America / USA / Washington	2020-03-16	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger
EPI_ISL_420362	hCoV-19/Belgium/DA-0319106/2020	Europe / Belgium / Quevy	2020-03-18	KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Joan Marti-Carreras, Bert Vanmechelen, Tony Wawina, Piet Maes
EPI_ISL_418046	hCoV-19/USA/WA-UW261/2020	North America / USA / Washington	2020-03-16	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger
EPI_ISL_421690	hCoV-19/USA/MN134-MDH134/2020	North America / USA / Minnesota	2020-03-16	Minnesota Department of Health, Public Health Laboratory	Minnesota Department of Health, Public Health Laboratory	Matt Plumb, Jacob Garfin, Xiong Wang
EPI_ISL_420361	hCoV-19/Belgium/GE-0317105/2020	Europe / Belgium / Villerot	2020-03-17	KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Joan Marti-Carreras, Bert Vanmechelen, Tony Wawina, Piet Maes
EPI_ISL_418045	hCoV-19/USA/CT-UW260/2020	North America / USA / Connecticut	2020-03-14	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger
EPI_ISL_421691	hCoV-19/USA/MN135-MDH135/2020	North America / USA / Minnesota	2020-03-16	Minnesota Department of Health, Public Health Laboratory	Minnesota Department of Health, Public Health Laboratory	Matt Plumb, Jacob Garfin, Xiong Wang
EPI_ISL_418049	hCoV-19/USA/MN-UW264/2020	North America / USA / Minnesota	2020-03-13	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger
EPI_ISL_420357	hCoV-19/Belgium/JLJ-0320101/2020	Europe / Belgium / Etterbeek	2020-03-20	KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Joan Marti-Carreras, Bert Vanmechelen, Tony Wawina, Piet Maes
EPI_ISL_418040	hCoV-19/USA/WA-UW255/2020	North America / USA / Washington	2020-03-16	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger
EPI_ISL_421689	hCoV-19/USA/MN133-MDH133/2020	North America / USA / Minnesota	2020-03-16	Minnesota Department of Health, Public Health Laboratory	Minnesota Department of Health, Public Health Laboratory	Matt Plumb, Jacob Garfin, Xiong Wang
EPI_ISL_420356	hCoV-19/Belgium/MJP-0306100/2020	Europe / Belgium / Henri-chapelle	2020-03-06	KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Joan Marti-Carreras, Bert Vanmechelen, Tony Wawina, Piet Maes
EPI_ISL_420359	hCoV-19/Belgium/UM-0318103/2020	Europe / Belgium / Honnelles	2020-03-18	KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Joan Marti-Carreras, Bert Vanmechelen, Tony Wawina, Piet Maes
EPI_ISL_421687	hCoV-19/USA/MN131-MDH131/2020	North America / USA / Minnesota	2020-03-16	Minnesota Department of Health, Public Health Laboratory	Minnesota Department of Health, Public Health Laboratory	Matt Plumb, Jacob Garfin, Xiong Wang
EPI_ISL_420358	hCoV-19/Belgium/VD-0318102/2020	Europe / Belgium / Honnelles	2020-03-18	KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Joan Marti-Carreras, Bert Vanmechelen, Tony Wawina, Piet Maes
EPI_ISL_421688	hCoV-19/USA/MN132-MDH132/2020	North America / USA / Minnesota	2020-03-16	Minnesota Department of Health, Public Health Laboratory	Minnesota Department of Health, Public Health Laboratory	Matt Plumb, Jacob Garfin, Xiong Wang
EPI_ISL_417541	hCoV-19/Iceland/116/2020	Europe / Iceland / Reykjavik	2020-03-17	deCODE genetics	deCODE genetics	Daniel F Gudbjartsson; Agnar Helgason; Hakon Jonsson; Olafur T Magnusson; Pall Melsted; Gudmundur L Norddahl; Jona Saemundsdottir; Asgeir Sigurdsson; Patrick Sulem; Arna B Agustsdottir; Berglind Eiriksdottir; Run Fridriksdottir; Elisabet E Gardarsdottir; Gudmundur Georgsson; Olafia S Gretarsdottir; Kjartan R Gudmundsson; Thora R Gunnarsdottir; Arnaldur Gylfason; Hilma Holm; Brynjar O Jensson; Aslaug Jonasdottir; Kamilla S Josefsdottir; Thordur Kristjansson; Droplaug N Magnusdottir; Louise le Roux; Gudrun Sigmundsdottir; Gardar Sveinbjornsson; Kristin E Sveinsdottir; Maney Sveinsdottir; Emil A Thorarensen; Bjarni Thorbjornsson; Gisli Masson; Ingileif Jonsdottir; Alma Moller; Thorolfur Gudnason; Karl G Kristinsson; Unnur Thorsteinsdottir; Kari Stefansson
EPI_ISL_417542	hCoV-19/Iceland/117/2020	Europe / Iceland / Reykjavik	2020-03-17	deCODE genetics	deCODE genetics	Daniel F Gudbjartsson; Agnar Helgason; Hakon Jonsson; Olafur T Magnusson; Pall Melsted; Gudmundur L Norddahl; Jona Saemundsdottir; Asgeir Sigurdsson; Patrick Sulem; Arna B Agustsdottir; Berglind Eiriksdottir; Run Fridriksdottir; Elisabet E Gardarsdottir; Gudmundur Georgsson; Olafia S Gretarsdottir; Kjartan R Gudmundsson; Thora R Gunnarsdottir; Arnaldur Gylfason; Hilma Holm; Brynjar O Jensson; Aslaug Jonasdottir; Kamilla S Josefsdottir; Thordur Kristjansson; Droplaug N Magnusdottir; Louise le Roux; Gudrun Sigmundsdottir; Gardar Sveinbjornsson; Kristin E Sveinsdottir; Maney Sveinsdottir; Emil A Thorarensen; Bjarni Thorbjornsson; Gisli Masson; Ingileif Jonsdottir; Alma Moller; Thorolfur Gudnason; Karl G Kristinsson; Unnur Thorsteinsdottir; Kari Stefansson
EPI_ISL_417540	hCoV-19/Iceland/115/2020	Europe / Iceland / Reykjavik	2020-03-17	deCODE genetics	deCODE genetics	Daniel F Gudbjartsson; Agnar Helgason; Hakon Jonsson; Olafur T Magnusson; Pall Melsted; Gudmundur L Norddahl; Jona Saemundsdottir; Asgeir Sigurdsson; Patrick Sulem; Arna B Agustsdottir; Berglind Eiriksdottir; Run Fridriksdottir; Elisabet E Gardarsdottir; Gudmundur Georgsson; Olafia S Gretarsdottir; Kjartan R Gudmundsson; Thora R Gunnarsdottir; Arnaldur Gylfason; Hilma Holm; Brynjar O Jensson; Aslaug Jonasdottir; Kamilla S Josefsdottir; Thordur Kristjansson; Droplaug N Magnusdottir; Louise le Roux; Gudrun Sigmundsdottir; Gardar Sveinbjornsson; Kristin E Sveinsdottir; Maney Sveinsdottir; Emil A Thorarensen; Bjarni Thorbjornsson; Gisli Masson; Ingileif Jonsdottir; Alma Moller; Thorolfur Gudnason; Karl G Kristinsson; Unnur Thorsteinsdottir; Kari Stefansson
EPI_ISL_418870	hCoV-19/USA/WA-UW302/2020	North America / USA / Washington	2020-03-16	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger
EPI_ISL_417545	hCoV-19/Iceland/120/2020	Europe / Iceland / Reykjavik	2020-03-17	deCODE genetics	deCODE genetics	Daniel F Gudbjartsson; Agnar Helgason; Hakon Jonsson; Olafur T Magnusson; Pall Melsted; Gudmundur L Norddahl; Jona Saemundsdottir; Asgeir Sigurdsson; Patrick Sulem; Arna B Agustsdottir; Berglind Eiriksdottir; Run Fridriksdottir; Elisabet E Gardarsdottir; Gudmundur Georgsson; Olafia S Gretarsdottir; Kjartan R Gudmundsson; Thora R Gunnarsdottir; Arnaldur Gylfason; Hilma Holm; Brynjar O Jensson; Aslaug Jonasdottir; Kamilla S Josefsdottir; Thordur Kristjansson; Droplaug N Magnusdottir; Louise le Roux; Gudrun Sigmundsdottir; Gardar Sveinbjornsson; Kristin E Sveinsdottir; Maney Sveinsdottir; Emil A Thorarensen; Bjarni Thorbjornsson; Gisli Masson; Ingileif Jonsdottir; Alma Moller; Thorolfur Gudnason; Karl G Kristinsson; Unnur Thorsteinsdottir; Kari Stefansson
EPI_ISL_418877	hCoV-19/USA/WA-UW309/2020	North America / USA / Washington	2020-03-24	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger
EPI_ISL_417543	hCoV-19/Iceland/118/2020	Europe / Iceland / Reykjavik	2020-03-17	deCODE genetics	deCODE genetics	Daniel F Gudbjartsson; Agnar Helgason; Hakon Jonsson; Olafur T Magnusson; Pall Melsted; Gudmundur L Norddahl; Jona Saemundsdottir; Asgeir Sigurdsson; Patrick Sulem; Arna B Agustsdottir; Berglind Eiriksdottir; Run Fridriksdottir; Elisabet E Gardarsdottir; Gudmundur Georgsson; Olafia S Gretarsdottir; Kjartan R Gudmundsson; Thora R Gunnarsdottir; Arnaldur Gylfason; Hilma Holm; Brynjar O Jensson; Aslaug Jonasdottir; Kamilla S Josefsdottir; Thordur Kristjansson; Droplaug N Magnusdottir; Louise le Roux; Gudrun Sigmundsdottir; Gardar Sveinbjornsson; Kristin E Sveinsdottir; Maney Sveinsdottir; Emil A Thorarensen; Bjarni Thorbjornsson; Gisli Masson; Ingileif Jonsdottir; Alma Moller; Thorolfur Gudnason; Karl G Kristinsson; Unnur Thorsteinsdottir; Kari Stefansson
EPI_ISL_418875	hCoV-19/USA/WA-UW307/2020	North America / USA / Washington	2020-03-16	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger
EPI_ISL_417544	hCoV-19/Iceland/119/2020	Europe / Iceland / Reykjavik	2020-03-17	deCODE genetics	deCODE genetics	Daniel F Gudbjartsson; Agnar Helgason; Hakon Jonsson; Olafur T Magnusson; Pall Melsted; Gudmundur L Norddahl; Jona Saemundsdottir; Asgeir Sigurdsson; Patrick Sulem; Arna B Agustsdottir; Berglind Eiriksdottir; Run Fridriksdottir; Elisabet E Gardarsdottir; Gudmundur Georgsson; Olafia S Gretarsdottir; Kjartan R Gudmundsson; Thora R Gunnarsdottir; Arnaldur Gylfason; Hilma Holm; Brynjar O Jensson; Aslaug Jonasdottir; Kamilla S Josefsdottir; Thordur Kristjansson; Droplaug N Magnusdottir; Louise le Roux; Gudrun Sigmundsdottir; Gardar Sveinbjornsson; Kristin E Sveinsdottir; Maney Sveinsdottir; Emil A Thorarensen; Bjarni Thorbjornsson; Gisli Masson; Ingileif Jonsdottir; Alma Moller; Thorolfur Gudnason; Karl G Kristinsson; Unnur Thorsteinsdottir; Kari Stefansson
EPI_ISL_417549	hCoV-19/Iceland/171/2020	Europe / Iceland / Reykjavik	2020-03-14	deCODE genetics	deCODE genetics	Daniel F Gudbjartsson; Agnar Helgason; Hakon Jonsson; Olafur T Magnusson; Pall Melsted; Gudmundur L Norddahl; Jona Saemundsdottir; Asgeir Sigurdsson; Patrick Sulem; Arna B Agustsdottir; Berglind Eiriksdottir; Run Fridriksdottir; Elisabet E Gardarsdottir; Gudmundur Georgsson; Olafia S Gretarsdottir; Kjartan R Gudmundsson; Thora R Gunnarsdottir; Arnaldur Gylfason; Hilma Holm; Brynjar O Jensson; Aslaug Jonasdottir; Kamilla S Josefsdottir; Thordur Kristjansson; Droplaug N Magnusdottir; Louise le Roux; Gudrun Sigmundsdottir; Gardar Sveinbjornsson; Kristin E Sveinsdottir; Maney Sveinsdottir; Emil A Thorarensen; Bjarni Thorbjornsson; Gisli Masson; Ingileif Jonsdottir; Alma Moller; Thorolfur Gudnason; Karl G Kristinsson; Unnur Thorsteinsdottir; Kari Stefansson
EPI_ISL_417548	hCoV-19/Iceland/170/2020	Europe / Iceland / Reykjavik	2020-03-17	deCODE genetics	deCODE genetics	Daniel F Gudbjartsson; Agnar Helgason; Hakon Jonsson; Olafur T Magnusson; Pall Melsted; Gudmundur L Norddahl; Jona Saemundsdottir; Asgeir Sigurdsson; Patrick Sulem; Arna B Agustsdottir; Berglind Eiriksdottir; Run Fridriksdottir; Elisabet E Gardarsdottir; Gudmundur Georgsson; Olafia S Gretarsdottir; Kjartan R Gudmundsson; Thora R Gunnarsdottir; Arnaldur Gylfason; Hilma Holm; Brynjar O Jensson; Aslaug Jonasdottir; Kamilla S Josefsdottir; Thordur Kristjansson; Droplaug N Magnusdottir; Louise le Roux; Gudrun Sigmundsdottir; Gardar Sveinbjornsson; Kristin E Sveinsdottir; Maney Sveinsdottir; Emil A Thorarensen; Bjarni Thorbjornsson; Gisli Masson; Ingileif Jonsdottir; Alma Moller; Thorolfur Gudnason; Karl G Kristinsson; Unnur Thorsteinsdottir; Kari Stefansson
EPI_ISL_418878	hCoV-19/USA/WA-UW310/2020	North America / USA / Washington	2020-03-14	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger
EPI_ISL_417530	hCoV-19/Luxembourg/LNS2128808/2020	Europe / Luxembourg	2020-03-18	Laboratoire Nationale de Santé, Microbiology, Virology	Laboratoire Nationale de Santé, Microbiology, Epidemiology and Microbial Genomics	Anke Wienecke-Baldacchino, Ardashel Latsuzbaia, Jessica Tapp, Catherine Ragimbeau, Guillaume Fournier, Tamir Abdelrahman, Trung Nguyen Nguyen, Joel Mossong
EPI_ISL_417531	hCoV-19/Luxembourg/LNS2013896/2020	Europe / Luxembourg	2020-03-18	Laboratoire Nationale de Santé, Microbiology, Virology	Laboratoire Nationale de Santé, Microbiology, Epidemiology and Microbial Genomics	Anke Wienecke-Baldacchino, Ardashel Latsuzbaia, Jessica Tapp, Catherine Ragimbeau, Guillaume Fournier, Tamir Abdelrahman, Trung Nguyen Nguyen, Joel Mossong
EPI_ISL_418861	hCoV-19/Spain/VH198152683/2020	Europe / Spain / Barcelona	2020-03-24	Hospital Universitari Vall d'Hebron (HUVH) - Vall d'Hebron Research Institute (VHIR)	Hospital Universitari Vall d'Hebron (HUVH) - Vall d'Hebron Research Institute (VHIR)	Cristina Andrés, Dàmir Garcia-Cehic, Maria Piñana, Mercedes Guerrero-Murillo, Ariadna Rando, Tomàs Pumarola, Maria Gema Codina, Andrés Antón, Josep Quer
EPI_ISL_418860	hCoV-19/Spain/VH000001133/2020	Europe / Spain / Barcelona	2020-03-15	Hospital Universitari Vall d'Hebron (HUVH) - Vall d'Hebron Research Institute (VHIR)	Hospital Universitari Vall d'Hebron (HUVH) - Vall d'Hebron Research Institute (VHIR)	Cristina Andrés, Dàmir Garcia-Cehic, Maria Piñana, Mercedes Guerrero-Murillo, Ariadna Rando, Tomàs Pumarola, Maria Gema Codina, Andrés Antón, Josep Quer
